SAMPLE,VALUE_1,SAMPLE_2,VALUE_2,S_CONV1,S_CONV2,S_CONV3,S_CONV4,S_CONV5,S_CONV6,S_CONV7,S_CONV8,S_CONV,CONV1,CONV2,CONV3,CONV4,CONV5,CONV6,CONV7,CONV8,RES
0,0.2,0,0,0,,,,,,,,0,0,,,,,,,,0
1,0.1,1,1,1,1,,,,,,,1,0.2,0,,,,,,,0.2
2,-0.1,2,-0.5,2,2,2,,,,,,2,-0.1,0.1,0,,,,,,0
3,0.02,3,0,3,3,3,3,,,,,3,0,-0.05,-0.1,0,,,,,-0.15
4,0.12,,,,4,4,4,4,,,,4,,0,0.05,0.02,0,,,,0.07
5,0.18,,,,,5,5,5,5,,,5,,,0,-0.01,0.12,0,,,0.11
6,0.06,,,,,,6,6,6,6,,6,,,,0,-0.06,0.18,0,,0.12
7,0,,,,,,,7,7,7,7,7,,,,,0,-0.09,0.06,0,-0.03
,,,,,,,,,8,8,8,8,,,,,,0,-0.03,0,-0.03
,,,,,,,,,,9,9,9,,,,,,,0,0,0
,,,,,,,,,,,10,10,,,,,,,,0,0
